Satellite Name,Company,Type,Award,Launch Date
BSAT-4b,(B-SAT),Direct Broadcast Services,2018,
Psyche,NASA/JPL,Asteroid Exploration Mission,2017,
RSGS,DARPA,Satellite Servicing,2017,
Restore-L,NASA,Satellite Servicing,2016,
SXM-8,SIRIUS XM Radio,Digital Audio Radio Satellite,2016,
Intelsat 39,Intelsat,Broadband Services,2016,
EUTELSAT 7C,Eutelsat,Direct Broadcast Services,2016,
TELKOM-4,Telkom Indonesia,Direct Broadcast Services,2015,8/6/2018
Telstar 18 VANTAGE,Telesat,Direct Broadcast Services,2015,9/10/2018
Telstar 19 VANTAGE,Telesat,Direct Broadcast Services,2015,7/21/2018
Azerspace-2/Intelsat 38,Azercosmos/Intelsat,Direct Broadcast Services,2015,9/25/2018
BSAT-4a,Broadcast Satellite System Corporation ,Direct Broadcast Services,2015,9/29/2017
,(B-SAT),,,
Amazonas 5,HISPASAT,Fixed Satellite Services,2014,9/11/2017
PSN VI,PT Pasifik Satelit Nusantara (PSN),Fixed Satellite Services,2014,
BulgariaSat-1,Bulgaria Sat,Fixed Satellite Services,2014,6/23/2017
Intelsat 36,Intelsat,Fixed Satellite Services,2014,8/24/2016
Hispasat 1F,HISPASAT,Fixed Satellite Services,2014,3/6/2018
BRIsat,PT. Bank Rakyat Indonesia (Persero) Tbk.,Fixed Satellite Services,2014,6/20/2016
EchoStar XXIII,EchoStar,Direct Broadcast Services,2014,3/16/2017
JCSAT-16,SKY Perfect JSAT,Fixed Satellite Services,2014,8/13/2016
JCSAT-15,SKY Perfect JSAT,Fixed Satellite Services,2014,12/21/2016
AsiaSat 9,AsiaSat 9,Fixed Satellite Services,2013,9/28/2017
EUTELSAT 65 West A,Eutelsat,Fixed Satellite Services,2013,3/9/2016
Star One D1,Star One,Fixed Satellite Services,2013,12/21/2016
Intelsat 34,Intelsat,Fixed Satellite Services,2013,8/20/2015
JCSAT-14,SKY Perfect JSAT,Fixed Satellite Services,2013,5/6/2016
JUPITER™ 2/EchoStar XIX,Hughes Network Systems/EchoStar,Broadband,2013,12/18/2016
EchoStar XVIII,EchoStar,Direct Broadcast Services,2012,6/20/2016
Star One C4,Star One ,,2012,7/15/2015
Sky Muster I,nbn Co Limited ,Broadband,2012,9/30/2015
Sky Muster II,nbn Co Limited ,Broadband,2012,10/6/2016
AsiaSat 8,AsiaSat ,Fixed Satellite Services,2011,8/5/2014
AsiaSat 6,AsiaSat ,Fixed Satellite Services,2011,9/6/2014
Intelsat 30/DLA-1,Intelsat,Fixed Satellite Services,2011,10/16/2014
Intelsat 31/DLA-2,Intelsat,Fixed Satellite Services,2011,6/9/2016
THOR 7,Telenor,Direct Broadcast Services,2011,4/26/2015
Optus 10,SingTel Optus,Fixed Satellite Services,2011,9/11/2014
ABS-2,Asia Broadcast Satellite,Fixed Satellite Services,2010,2/6/2014
EUTELSAT 25B/Es'hail 1,Eutelsat/Es'hailSat,Direct Broadcast Services,2010,8/29/2013
Amazonas 3,HISPASAT,Direct Broadcast Services,2010,2/7/2013
DIRECTV 14,DIRECTV,Fixed Satellite Services,2010,12/6/2014
Anik G1,Telesat,Fixed Satellite Services,2010,4/15/2013
Satmex 8,"Satélites Mexicanos, S.A. de C.V.",Fixed Satellite Services,2010,3/26/2013
EchoStar XVI,EchoStar,Direct Broadcast Services,2009,11/21/2012
Nimiq 6,Telesat,Direct Broadcast Services,2009,5/17/2012
Telstar 14R/Estrela do Sul 2,Telesat,Fixed Satellite Services,2009,5/20/2011
EchoStar XVII,"EchoStar/Hughes Network Systems, LLC",Broadband,2009,7/5/2012
Intelsat 20,Intelsat,Fixed Satellite Services,2009,8/6/2012
Intelsat 19,Intelsat,Fixed Satellite Services,2009,5/31/2012
AsiaSat 7,AsiaSat ,Fixed Satellite Services,2009,11/25/2011
QuetzSat-1,SES,Direct Broadcast Services,2009,9/29/2011
SES-5,SES,Direct Broadcast Services/Fixed Satellite Services/Broadband,2008,7/10/2012
Hispasat 1E,HISPASAT,Direct Broadcast Services,2008,12/29/2010
Intelsat 17,Intelsat,Fixed Satellite Services,2008,11/26/2010
EchoStar XV,EchoStar,Direct Broadcast Services,2008,7/10/2010
SES-4,SES NEW SKIES,Fixed Satellite Services,2008,2/14/2012
ViaSat-1,ViaSat Inc.,Broadband,2008,10/19/2011
SIRIUS FM-6,SIRIUS XM Radio,Digital Audio Radio Satellites,2007,10/25/2013
EchoStar XIV,EchoStar,Direct Broadcast Services,2007,3/21/2010
NSS-12,SES NEW SKIES,Fixed Satellite Services,2007,10/29/2009
Intelsat 14,Intelsat,Fixed Satellite Services,2007,11/23/2009
Intelsat 25,Intelsat,Fixed Satellite Services,2006,7/7/2008
Nimiq 5,Telesat,Direct Broadcast Services,2006,9/17/2009
TerreStar-2,TerreStar,Mobile Satellite Services,2006,6/7/2017
AsiaSat 5,AsiaSat ,Fixed Satellite Services,2006,8/11/2009
SIRIUS FM-5,SIRIUS XM Radio,Digital Audio Radio Satellites,2006,6/30/2009
Telstar 11N,Telesat,Fixed Satellite Services,2006,2/26/2009
T-1 was Terrestar-1,TerreStar,Mobile Satellite Services,2005,7/1/2009
XM-5,SIRIUS XM Radio,Digital Audio Radio Satellites,2005,10/14/2010
D-1 was ICO G-1,EchoStar,Mobile Satellite Services,2005,4/14/2008
Galaxy 18,Intelsat,Fixed Satellite Services,2005,5/21/2008
EchoStar XI,EchoStar,Direct Broadcast Services,2004,7/15/2008
Galaxy 16,Intelsat,Fixed Satellite Services,2004,6/18/2006
DIRECTV 9S,"DIRECTV, Inc",Direct Broadcast Services,2003,10/13/2006
DIRECTV 8,"DIRECTV, Inc",Direct Broadcast Services,2003,5/22/2005
Galaxy 19,Intelsat,Fixed Satellite Services,2003,9/24/2008
DIRECTV 7S,"DIRECTV, Inc",Direct Broadcast Services,2001,5/4/2004
Spainsat,"HISDESAT, S.A. (HISDESAT Servicios Estrategicos S.A.)",Government Programs,2001,3/11/2006
ABS-2i was MBSAT,Mobile Broadcasting Company,Direct Broadcast Services,2001,3/13/2004
Telstar 18 was Apstar-V,Telesat,Fixed Satellite Services,2001,6/29/2004
XTAR-EUR,"XTAR, L.L.C.  (Loral + Hisdesat)",Government Programs,2001,2/12/2005
Satmex-6,"Satélites Mexicanos, S.A. de C.V.",Fixed Satellite Services,2000,5/27/2006
AssureSat,AssureSat,,2000,
EchoStar VIII,EchoStar,Direct Broadcast Services,2000,8/22/2002
Echostar IX/Galaxy 23 was Intelsat Americas 13/Telstar 13,EchoStar/Intelsat,Direct Broadcast Services,2000,8/8/2003
MTSAT-1R,Japanese Ministry of Transport Civil Aviation Bureau and Meteorological Agency,Government Programs,2000,2/26/2005
Thaicom 4 was IPSTAR,Shin Satellite Public Co. Ltd. ,Broadband,2000,8/11/2005
,(ex-Shinawatra Satellite Public Co. Ltd),,,
Telstar 14/Estrela do Sul,Telesat,Fixed Satellite Services,2000,1/11/2004
Intelsat 907,Intelsat,Fixed Satellite Services,1999,2/15/2003
Intelsat 906,Intelsat,Fixed Satellite Services,1999,9/6/2002
Galaxy 28 was Intelsat Americas 8/Telstar 8,Intelsat,Fixed Satellite Services,1999,6/23/2005
Optus-C1,"Sing Tel Optus & Australian Defence Force (ex-Cable & Wireless Optus, ex-Optus Communications)",Government Programs,1999,6/11/2003
WildBlue-1 was iSKY1/KaStar,WildBlue Communications,Broadband,1999,12/8/2006
Intelsat 905,Intelsat,Fixed Satellite Services,1998,6/5/2002
Intelsat 12 was PAS?12/Europe*Star-1,Intelsat,Fixed Satellite Services,1998,10/29/2000
SIRIUS FM-4 was CD Radio 4,SIRIUS XM Radio,Digital Audio Radio Satellites,1998,
Telstar 12 was Orion 2,Telesat,Fixed Satellite Services,1998,10/19/1999
Intelsat 904,Intelsat,Fixed Satellite Services,1997,2/23/2002
Intelsat 903,Intelsat,Fixed Satellite Services,1997,3/30/2002
Galaxy 27 was Intelsat Americas 7/Telstar 7,Intelsat,Fixed Satellite Services,1997,9/25/1999
Intelsat 902,Intelsat,Fixed Satellite Services,1997,8/30/2001
Intelsat 901,Intelsat,Fixed Satellite Services,1997,6/9/2001
SIRIUS FM-3 was CD Radio 3,SIRIUS XM Radio,Digital Audio Radio Satellites,1997,11/30/2000
SIRIUS FM-2 was CD Radio 2,SIRIUS XM Radio,Digital Audio Radio Satellites,1997,9/5/2000
SIRIUS FM-1 was CD Radio 1,SIRIUS XM Radio,Digital Audio Radio Satellites,1997,6/30/2000
L-Star 2,Asia Broadcasting and,Direct Broadcast,1996,
,Communications Network,,,
L-Star 1,Asia Broadcasting and,Direct Broadcast,1996,
,Communications Network,,,
EchoStar V was MCI-1,EchoStar,Direct Broadcast Services,1996,9/23/1999
EchoStar VI was MCI-2,EchoStar,Direct Broadcast Services,1996,7/14/2000
Galaxy 26 was Intelsat Americas/Telstar 6,Intelsat,Fixed Satellite Services,1996,2/15/1999
M2A,Pasifik Satelit Nusantara,Fixed Satellite Services,1996,
Intelsat 8 was PAS-8,Intelsat,Fixed Satellite Services,1995,11/4/1998
Intelsat 7 was PAS-7,Intelsat,Fixed Satellite Services,1995,9/15/1998
Galaxy 25 was Intelsat Americas 5,Intelsat,Fixed Satellite Services,1995,5/24/1997
Agila 2 was Mabuhay 1,Mabuhay Philippines Satellite Corporation,Fixed Satellite Services,1995,8/19/1997
APSTAR IIR/Telstar 10,APT Satellite,Fixed Satellite Services,1995,10/17/1997
MTSAT-1,Japanese Ministry of Transport Civil Aviation Bureau and Meteorological Agency,Government Programs,1995,Launch Failure
PAS-6,PanAmSat,Direct Broadcast Services,1994,8/8/1997
DIRECTV-6 was Tempo 2,"DIRECTV, Inc",Direct Broadcast Services,1993,3/8/1997
DIRECTV-5 was Tempo 1,"DIRECTV, Inc",Direct Broadcast Services,1993,5/7/2002
N-Star b,JSAT Corporation (aka: Japan Satellite Systems Inc. (JSAT)) (ex-Nippon Telegraph and Telephone Corporation (NTT) DoCoMo),Fixed Satellite Services/Mobile Satellite Services,1992,2/5/1996
N-Star a,JSAT Corporation (aka: Japan Satellite Systems Inc. (JSAT)) (ex-Nippon Telegraph and Telephone Corporation (NTT) DoCoMo),Fixed Satellite Services/Mobile Satellite Services,1992,8/29/1995
Intelsat 709,Intelsat,Fixed Satellite Services,1990,6/15/1996
Intelsat 708,Intelsat,Fixed Satellite Services,1990,1996-02-14 
,,,,Launch Failure
Intelsat 707,Intelsat,Fixed Satellite Services,1990,3/14/1996
Intelsat 706,Intelsat,Fixed Satellite Services,1988,5/17/1995
Intelsat 705,Intelsat,Fixed Satellite Services,1988,3/22/1995
Intelsat 704,Intelsat,Fixed Satellite Services,1988,1/10/1995
Intelsat 703,Intelsat,Fixed Satellite Services,1988,10/6/1994
Intelsat 702,Intelsat,Fixed Satellite Services,1988,6/17/1994
Intelsat 701,Intelsat,Fixed Satellite Services,1988,10/22/1993
Superbird-2,Space Communications Corporation,Fixed Satellite Services,1986,12/1/1992
Superbird-1,Space Communications Corporation,Fixed Satellite Services,1986,2/26/1992
Superbird 1B,Space Communications Corporation,Fixed Satellite Services,1986,2/22/1990
,,,,Launch Failure
Superbird 1A,Space Communications Corporation,Fixed Satellite Services,1986,6/5/1989
GOES 12 was GOES M,National Oceanic and Atmospheric Administration,Government Programs,1985,7/23/2001
GOES 11 was GOES L,National Oceanic and Atmospheric Administration,Government Programs,1985,5/3/2000
GOES 10 was GOES K,National Oceanic and Atmospheric Administration,Government Programs,1985,4/25/1997
GOES 9 was GOES J,National Oceanic and Atmospheric Administration,Government Programs,1985,5/23/1995
GOES 8 was GOES I,National Oceanic and Atmospheric Administration,Government Programs,1985,4/13/1994
Arabsat 1C,Arabsat,Government Programs,1980,2/26/1992
Arabsat 1B,Arabsat,Government Programs,1980,6/18/1985
Arabsat 1A,Arabsat,Government Programs,1980,2/8/1985
Intelsat 512,Intelsat,Fixed Satellite Services,1980,9/28/1985
Intelsat 511,Intelsat,Fixed Satellite Services,1980,6/30/1985
Intelsat 510,Intelsat,Fixed Satellite Services,1980,3/22/1985
CS 3 B,NASDA,Government Programs,1978,9/16/1988
CS 3 A,TSCJ/NASDA,Government Programs,1978,2/19/1988
CS 2 B,TSCJ/NASDA,Government Programs,1978,8/6/1983
CS 2 A,TSCJ/NASDA,Government Programs,1978,2/4/1983
INSAT 1D,Indian Space Research Organization,Government Programs,1977,6/12/1990
INSAT 1C ,Indian Space Research Organization,Government Programs,1977,7/21/1988
INSAT 1B,Indian Space Research Organization,Government Programs,1977,9/1/1983
INSAT 1A,Indian Space Research Organization,Government Programs,1977,4/10/1982
Intelsat 515,Intelsat,Fixed Satellite Services,1976,1/27/1989
Intelsat 514,Intelsat,Fixed Satellite Services,1976,5/30/1986
,,,,Launch Failure
Intelsat 513,Intelsat,Fixed Satellite Services,1976,5/17/1988
Intelsat 509,Intelsat,Fixed Satellite Services,1976,6/9/1984
,,,,Launch Failure
Intelsat 508,Intelsat,Fixed Satellite Services,1976,3/5/1984
Intelsat 507,Intelsat,Fixed Satellite Services,1976,10/19/1983
Intelsat 506,Intelsat,Fixed Satellite Services,1976,5/19/1983
Intelsat 505,Intelsat,Fixed Satellite Services,1976,9/28/1982
Intelsat 504,Intelsat,Fixed Satellite Services,1976,3/5/1982
Intelsat 503,Intelsat,Fixed Satellite Services,1976,12/15/1981
Intelsat 502,Intelsat,Fixed Satellite Services,1976,12/6/1980
Intelsat 501,Intelsat,Fixed Satellite Services,1976,5/23/1981
Ayame 2 was ECS 2,NASDA,Government Programs,1975,2/22/1980
,,,,Launch Failure
Ayame 1 was ECS 1,NASDA,Government Programs,1975,2/6/1979
,,,,Launch Failure
ETS II,NASDA,Government Programs,1974,2/23/1977
CS 1 B,NASDA/Mitsubishi Electric Corporation of Japan (MELCO),Government Programs,1974,
CS 1 A,NASDA/Mitsubishi Electric Corporation of Japan (MELCO),Government Programs,1974,12/14/1977
GOES 3 was GOES C,National Oceanic and Atmospheric Administration,Government Programs,1973,6/16/1978
GOES 2 was GOES B,National Oceanic and Atmospheric Administration,Government Programs,1973,6/16/1977
GOES 1 was GOES A/SMS C,National Oceanic and Atmospheric Administration,Government Programs,1973,10/16/1975
NATO III D,US Air Force/SAMSO,Government Programs,1973,11/13/1984
NATO III C,US Air Force/SAMSO,Government Programs,1973,11/18/1978
NATO III B,US Air Force/SAMSO,Government Programs,1973,1/27/1977
NATO III A,US Air Force/SAMSO,Government Programs,1973,4/22/1976
SMS 2 was SMS B,NASA,Government Programs,1970,2/6/1975
SMS 1 was SMS A,NASA,Government Programs,1970,5/17/1974
Skynet 2B,United Kingdom Ministry of Defense ,Government Programs,1970,11/22/1974
,(UK MoD),,,
Skynet 2A,United Kingdom Ministry of Defense ,Government Programs,1970,Launch Failure
,(UK MoD),,,
NATO II B,US Air Force/SAMSO,Government Programs,1967,2/2/1971
NATO II A,US Air Force/SAMSO,Government Programs,1967,3/20/1970
Skynet 1B,US Air Force/SAMSO,Government Programs,1966,9/19/1970
,,,,Launch Failure
Skynet 1A,US Air Force/SAMSO,Government Programs,1966,11/22/1969
